Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Web Developer,$57k-$240k,Build and maintain websites to enhance user experience.,1.6,Design Dreams,"Atlanta, GA","Los Angeles, CA",501-1000 employees,1967,Subsidiary or Business Segment,Networking & Security,Retail,$10 to $25 million,None
Customer Support Representative,$118k-$193k,Handle customer inquiries and resolve issues promptly.,3.2,Supply Chain Co.,"Boston, MA","Washington, DC",501-1000 employees,1924,Public,Research & Development,Non-Profit,$5 to $10 million,None
Graphic Designer,$88k-$248k,Design visual content for digital and print media.,2.2,Design Dreams,"Seattle, WA","Los Angeles, CA",501-1000 employees,1944,Non-profit Organization,Customer Service,Biotech & Pharmaceuticals,$5 to $10 million,None
Marketing Specialist,$123k-$236k,Create and execute marketing strategies to enhance brand awareness.,3.2,Support Central,"Denver, CO","Los Angeles, CA",51-200 employees,1937,Private,Research & Development,Business Services,$5 to $10 million,None
Customer Support Representative,$106k-$233k,Handle customer inquiries and resolve issues promptly.,2.0,Finance First,"Austin, TX","Austin, TX",1001-5000 employees,1934,Non-profit Organization,Software Development,Biotech & Pharmaceuticals,$1 to $5 million,None
Marketing Specialist,$128k-$244k,Create and execute marketing strategies to enhance brand awareness.,3.3,Design Dreams,"New York, NY","Atlanta, GA",51-200 employees,1981,Public,IT Services,Business Services,$10 to $25 million,None
Network Administrator,$141k-$210k,Maintain and troubleshoot company network issues.,1.4,Secure Systems,"Chicago, IL","New York, NY",1001-5000 employees,2018,Public,Digital Media,Media,$10 to $25 million,None
Supply Chain Analyst,$75k-$246k,Optimize supply chain processes to improve efficiency.,4.9,Net Solutions,"Boston, MA","New York, NY",1-50 employees,1983,Non-profit Organization,Graphic Design,Non-Profit,More than $50 million,None
Web Developer,$54k-$172k,Build and maintain websites to enhance user experience.,2.7,Office Organizers,"Chicago, IL","New York, NY",501-1000 employees,2000,Subsidiary or Business Segment,Consumer Products,Biotech & Pharmaceuticals,Less than $1 million,None
Software Developer,$88k-$222k,Develop and maintain software applications based on client requirements.,3.4,Support Central,"Los Angeles, CA","Boston, MA",501-1000 employees,1982,Non-profit Organization,Human Resources,Media,$1 to $5 million,None
Administrative Assistant,$114k-$209k,Provide administrative support to ensure efficient office operations.,2.1,Secure Systems,"San Francisco, CA","Los Angeles, CA",51-200 employees,1993,Subsidiary or Business Segment,Logistics,Biotech & Pharmaceuticals,More than $50 million,None
Sales Manager,$51k-$244k,Lead sales teams to achieve targets through strategic planning.,2.3,Data Wizards,"Washington, DC","Austin, TX",51-200 employees,1978,Subsidiary or Business Segment,Administrative Services,Real Estate,$25 to $50 million,None
Network Administrator,$61k-$201k,Maintain and troubleshoot company network issues.,3.7,Global Sales Group,"Chicago, IL","Seattle, WA",201-500 employees,2019,Public,IT Services,Biotech & Pharmaceuticals,$10 to $25 million,None
Graphic Designer,$107k-$246k,Design visual content for digital and print media.,2.1,Net Solutions,"Boston, MA","Washington, DC",1001-5000 employees,1901,Government,Logistics,Insurance,More than $50 million,None
Graphic Designer,$57k-$235k,Design visual content for digital and print media.,1.5,Data Wizards,"Chicago, IL","Denver, CO",1001-5000 employees,2018,Government,Software Development,Business Services,More than $50 million,None
Customer Support Representative,$87k-$197k,Handle customer inquiries and resolve issues promptly.,3.5,Design Dreams,"Chicago, IL","Seattle, WA",51-200 employees,1958,Non-profit Organization,Networking & Security,Real Estate,More than $50 million,None
Human Resources Coordinator,$110k-$246k,"Manage recruitment, training, and employee relations.",3.2,Supply Chain Co.,"Austin, TX","Austin, TX",1001-5000 employees,2011,Private,Human Resources,Media,$25 to $50 million,None
Web Developer,$96k-$159k,Build and maintain websites to enhance user experience.,4.7,Market Movers,"New York, NY","Atlanta, GA",1001-5000 employees,1925,Non-profit Organization,Human Resources,Retail,$1 to $5 million,None
Network Administrator,$116k-$206k,Maintain and troubleshoot company network issues.,1.5,Design Dreams,"Washington, DC","Seattle, WA",1-50 employees,2015,Non-profit Organization,Finance,Technology,$10 to $25 million,None
Sales Manager,$115k-$203k,Lead sales teams to achieve targets through strategic planning.,2.8,Tech Innovate,"Atlanta, GA","Seattle, WA",201-500 employees,1992,Private,Digital Media,Biotech & Pharmaceuticals,Less than $1 million,None
Web Developer,$77k-$224k,Build and maintain websites to enhance user experience.,1.3,Media Magic,"Los Angeles, CA","San Francisco, CA",1001-5000 employees,1907,Private,Customer Service,Media,Less than $1 million,None
Data Scientist,$102k-$173k,Analyze large datasets to uncover actionable insights.,4.1,Secure Systems,"Denver, CO","Los Angeles, CA",501-1000 employees,1957,Subsidiary or Business Segment,Digital Media,Business Services,More than $50 million,None
Supply Chain Analyst,$119k-$167k,Optimize supply chain processes to improve efficiency.,3.6,Net Solutions,"San Francisco, CA","Chicago, IL",1001-5000 employees,1950,Non-profit Organization,Consumer Products,"Arts, Entertainment & Recreation",Less than $1 million,None
Security Analyst,$52k-$188k,Protect systems against cyber threats and ensure data security.,2.9,Web Wonders,"Atlanta, GA","Denver, CO",1001-5000 employees,1948,Public,Graphic Design,Media,$5 to $10 million,None
Sales Manager,$85k-$174k,Lead sales teams to achieve targets through strategic planning.,4.7,Web Wonders,"San Francisco, CA","New York, NY",501-1000 employees,1978,Private,Graphic Design,"Arts, Entertainment & Recreation",Less than $1 million,None
Marketing Specialist,$126k-$154k,Create and execute marketing strategies to enhance brand awareness.,2.8,Supply Chain Co.,"New York, NY","Austin, TX",1-50 employees,1951,Subsidiary or Business Segment,Graphic Design,Non-Profit,$1 to $5 million,None
Security Analyst,$149k-$157k,Protect systems against cyber threats and ensure data security.,1.6,Data Wizards,"Austin, TX","Washington, DC",201-500 employees,1973,Non-profit Organization,Cybersecurity,Insurance,$1 to $5 million,None
Data Scientist,$68k-$234k,Analyze large datasets to uncover actionable insights.,3.1,Media Magic,"Boston, MA","Boston, MA",1-50 employees,1971,Non-profit Organization,Customer Service,Retail,More than $50 million,None
Supply Chain Analyst,$104k-$221k,Optimize supply chain processes to improve efficiency.,3.0,Net Solutions,"Denver, CO","Atlanta, GA",201-500 employees,1989,Subsidiary or Business Segment,Digital Media,Retail,$5 to $10 million,None
Digital Media Manager,$73k-$246k,Manage online content and social media presence.,3.2,Design Dreams,"Austin, TX","Boston, MA",51-200 employees,2003,Subsidiary or Business Segment,Customer Service,Technology,$25 to $50 million,None
Digital Media Manager,$103k-$221k,Manage online content and social media presence.,3.1,Media Magic,"Austin, TX","Boston, MA",51-200 employees,1942,Private,Customer Service,Media,$5 to $10 million,None
Marketing Specialist,$118k-$242k,Create and execute marketing strategies to enhance brand awareness.,4.3,Tech Innovate,"Boston, MA","Denver, CO",1001-5000 employees,1977,Private,Administrative Services,Business Services,$1 to $5 million,None
Security Analyst,$147k-$225k,Protect systems against cyber threats and ensure data security.,3.9,People Partners,"Austin, TX","Seattle, WA",51-200 employees,2011,Government,Research & Development,Technology,$1 to $5 million,None
Customer Support Representative,$74k-$244k,Handle customer inquiries and resolve issues promptly.,1.5,Secure Systems,"Seattle, WA","Austin, TX",1001-5000 employees,1990,Public,Digital Media,"Arts, Entertainment & Recreation",$25 to $50 million,None
Network Administrator,$149k-$186k,Maintain and troubleshoot company network issues.,2.5,People Partners,"Los Angeles, CA","Boston, MA",201-500 employees,1946,Non-profit Organization,Customer Service,Media,$10 to $25 million,None
Marketing Specialist,$142k-$210k,Create and execute marketing strategies to enhance brand awareness.,4.0,Net Solutions,"Austin, TX","Los Angeles, CA",201-500 employees,1952,Private,Management Consulting,"Arts, Entertainment & Recreation",More than $50 million,None
Sales Manager,$52k-$183k,Lead sales teams to achieve targets through strategic planning.,3.2,Plan Pros,"Washington, DC","Denver, CO",201-500 employees,1919,Public,Networking & Security,"Arts, Entertainment & Recreation",$10 to $25 million,None
Project Manager,$81k-$213k,Oversee project lifecycle from initiation to closure.,3.2,Supply Chain Co.,"Los Angeles, CA","Boston, MA",501-1000 employees,1992,Subsidiary or Business Segment,Finance,Retail,More than $50 million,None
Security Analyst,$95k-$171k,Protect systems against cyber threats and ensure data security.,1.6,People Partners,"Seattle, WA","Chicago, IL",1001-5000 employees,1982,Private,Human Resources,Technology,Less than $1 million,None
Administrative Assistant,$135k-$156k,Provide administrative support to ensure efficient office operations.,4.1,Media Magic,"Chicago, IL","Austin, TX",1-50 employees,1990,Public,IT Services,"Arts, Entertainment & Recreation",$25 to $50 million,None
Financial Analyst,$97k-$157k,Conduct financial analysis and report on budgeting.,3.5,Supply Chain Co.,"Washington, DC","Seattle, WA",501-1000 employees,1902,Private,Human Resources,Non-Profit,$10 to $25 million,None
Software Developer,$52k-$217k,Develop and maintain software applications based on client requirements.,3.9,People Partners,"Boston, MA","New York, NY",1001-5000 employees,2004,Subsidiary or Business Segment,Cybersecurity,Retail,Less than $1 million,None
Customer Support Representative,$62k-$217k,Handle customer inquiries and resolve issues promptly.,1.6,Design Dreams,"Washington, DC","Atlanta, GA",201-500 employees,2004,Government,Research & Development,Real Estate,Less than $1 million,None
Network Administrator,$101k-$208k,Maintain and troubleshoot company network issues.,3.3,Web Wonders,"Austin, TX","Boston, MA",1-50 employees,1983,Private,Marketing,Real Estate,$10 to $25 million,None
Digital Media Manager,$120k-$210k,Manage online content and social media presence.,1.2,Tech Innovate,"Chicago, IL","San Francisco, CA",501-1000 employees,2008,Subsidiary or Business Segment,Logistics,Insurance,$25 to $50 million,None
Administrative Assistant,$62k-$217k,Provide administrative support to ensure efficient office operations.,4.7,Design Dreams,"Austin, TX","Washington, DC",501-1000 employees,1934,Private,Customer Service,Business Services,More than $50 million,None
Customer Support Representative,$85k-$219k,Handle customer inquiries and resolve issues promptly.,3.3,Tech Innovate,"Chicago, IL","Los Angeles, CA",1-50 employees,1926,Non-profit Organization,Consumer Products,Real Estate,Less than $1 million,None
Data Scientist,$70k-$222k,Analyze large datasets to uncover actionable insights.,2.0,Office Organizers,"Denver, CO","Atlanta, GA",201-500 employees,1949,Public,Cybersecurity,Business Services,$25 to $50 million,None
Web Developer,$94k-$156k,Build and maintain websites to enhance user experience.,1.4,Design Dreams,"San Francisco, CA","Los Angeles, CA",1001-5000 employees,1998,Non-profit Organization,Management Consulting,Real Estate,$5 to $10 million,None
Software Developer,$131k-$184k,Develop and maintain software applications based on client requirements.,4.1,Finance First,"Seattle, WA","Austin, TX",201-500 employees,1970,Subsidiary or Business Segment,Digital Media,Retail,More than $50 million,None
Project Manager,$134k-$198k,Oversee project lifecycle from initiation to closure.,1.3,Plan Pros,"Boston, MA","Austin, TX",1-50 employees,1910,Government,Consumer Products,Real Estate,More than $50 million,None
Security Analyst,$131k-$169k,Protect systems against cyber threats and ensure data security.,4.0,Net Solutions,"Los Angeles, CA","San Francisco, CA",1-50 employees,1900,Government,Finance,Insurance,$5 to $10 million,None
Marketing Specialist,$66k-$161k,Create and execute marketing strategies to enhance brand awareness.,1.7,Finance First,"Atlanta, GA","Atlanta, GA",1001-5000 employees,1952,Private,IT Services,Business Services,$5 to $10 million,None
Human Resources Coordinator,$61k-$226k,"Manage recruitment, training, and employee relations.",3.4,Net Solutions,"Denver, CO","New York, NY",201-500 employees,1952,Subsidiary or Business Segment,Cybersecurity,Business Services,More than $50 million,None
Customer Support Representative,$121k-$181k,Handle customer inquiries and resolve issues promptly.,3.3,Global Sales Group,"Denver, CO","Chicago, IL",51-200 employees,1934,Government,Research & Development,Media,$1 to $5 million,None
Marketing Specialist,$71k-$205k,Create and execute marketing strategies to enhance brand awareness.,2.1,Data Wizards,"Seattle, WA","San Francisco, CA",201-500 employees,1932,Public,Software Development,Media,$25 to $50 million,None
Project Manager,$75k-$208k,Oversee project lifecycle from initiation to closure.,1.4,Data Wizards,"New York, NY","Denver, CO",201-500 employees,2007,Non-profit Organization,Digital Media,Insurance,$10 to $25 million,None
Network Administrator,$105k-$233k,Maintain and troubleshoot company network issues.,4.9,Global Sales Group,"Boston, MA","Los Angeles, CA",1001-5000 employees,1988,Public,Finance,Insurance,$1 to $5 million,None
